                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                  1.334,                0.82346,                 1.5709,                0.92873,                0.93293,                 0.9668,                0.63093,                  1.268,                0.61498,                  1.613,               0.004753,               0.004753,               0.004753
                     55,                 1.3201,                0.80383,                 1.5575,                0.92466,                0.93485,                0.96698,                0.63169,                 1.2675,                0.60485,                 1.6127,               0.004654,               0.004654,               0.004654
                     56,                 1.3256,                0.80781,                  1.563,                0.94487,                0.91402,                0.96492,                 0.6347,                 1.2612,                0.59979,                 1.6047,               0.004555,               0.004555,               0.004555
                     57,                 1.3222,                0.79858,                 1.5625,                0.94134,                0.92747,                0.96597,                0.63363,                 1.2648,                0.60543,                  1.605,               0.004456,               0.004456,               0.004456
                     58,                 1.3218,                 0.7913,                 1.5523,                0.93962,                 0.9287,                0.96839,                0.63331,                  1.267,                0.60591,                 1.6071,               0.004357,               0.004357,               0.004357
                     59,                 1.3091,                0.79714,                 1.5537,                0.92891,                 0.9364,                0.96532,                0.63084,                 1.2713,                0.60625,                 1.6116,               0.004258,               0.004258,               0.004258
                     60,                 1.3207,                0.79461,                 1.5579,                0.93798,                0.92962,                0.96694,                0.63469,                 1.2616,                0.60878,                 1.6061,               0.004159,               0.004159,               0.004159
                     61,                 1.3083,                0.78667,                 1.5524,                 0.9382,                0.92245,                0.96707,                0.63614,                 1.2639,                0.59193,                 1.5999,                0.00406,                0.00406,                0.00406
                     62,                  1.307,                 0.7819,                 1.5496,                0.94374,                 0.9274,                0.96858,                 0.6401,                  1.252,                0.58872,                 1.5959,               0.003961,               0.003961,               0.003961
                     63,                 1.3111,                0.77441,                 1.5461,                 0.9434,                0.92217,                0.96838,                0.63882,                 1.2588,                0.58857,                 1.5977,               0.003862,               0.003862,               0.003862
                     64,                 1.3016,                0.76969,                 1.5367,                 0.9465,                0.93368,                 0.9693,                0.64093,                 1.2543,                0.58897,                 1.5959,               0.003763,               0.003763,               0.003763
                     65,                 1.2781,                0.75266,                  1.527,                0.94559,                0.93054,                0.96909,                0.63905,                  1.254,                0.59061,                  1.596,               0.003664,               0.003664,               0.003664
                     66,                 1.2967,                0.76254,                 1.5219,                0.94866,                0.93159,                0.97164,                0.64441,                 1.2419,                0.57509,                 1.5804,               0.003565,               0.003565,               0.003565
                     67,                 1.2859,                 0.7637,                  1.529,                0.93498,                 0.9345,                0.96887,                0.64016,                 1.2487,                0.58176,                 1.5876,               0.003466,               0.003466,               0.003466
                     68,                 1.2848,                0.76008,                 1.5253,                0.94575,                0.92985,                0.96778,                0.64308,                 1.2467,                 0.5804,                 1.5893,               0.003367,               0.003367,               0.003367
                     69,                 1.2793,                0.74405,                 1.5159,                0.94458,                 0.9384,                0.96886,                0.64344,                 1.2435,                0.57453,                 1.5824,               0.003268,               0.003268,               0.003268
                     70,                 1.2754,                0.75036,                  1.521,                0.94281,                  0.937,                0.96869,                0.63948,                 1.2435,                0.58106,                 1.5838,               0.003169,               0.003169,               0.003169
                     71,                 1.2611,                0.73961,                  1.507,                0.94536,                0.93016,                0.96796,                0.64074,                  1.245,                0.57416,                 1.5881,                0.00307,                0.00307,                0.00307
                     72,                 1.2688,                0.73815,                 1.5045,                0.94089,                0.93625,                0.96922,                0.64466,                 1.2435,                 0.5705,                 1.5809,               0.002971,               0.002971,               0.002971
                     73,                 1.2587,                0.73377,                 1.5043,                0.94303,                0.93436,                0.97054,                0.64852,                 1.2361,                0.56284,                 1.5714,               0.002872,               0.002872,               0.002872
                     74,                 1.2572,                 0.7294,                 1.4985,                0.95452,                0.92528,                0.97067,                0.64647,                 1.2365,                0.56121,                 1.5737,               0.002773,               0.002773,               0.002773
                     75,                 1.2612,                0.72691,                 1.5029,                 0.9412,                0.94294,                0.97176,                0.64983,                 1.2352,                0.55986,                 1.5738,               0.002674,               0.002674,               0.002674
                     76,                 1.2537,                0.72332,                 1.4927,                0.95121,                0.93094,                0.97084,                0.64734,                 1.2322,                0.56363,                  1.572,               0.002575,               0.002575,               0.002575
                     77,                 1.2572,                0.72678,                 1.4909,                0.95095,                0.93574,                0.97152,                0.64962,                 1.2293,                0.56405,                 1.5679,               0.002476,               0.002476,               0.002476
                     78,                 1.2454,                 0.7087,                 1.4838,                0.94208,                0.94507,                0.97205,                 0.6506,                  1.231,                0.56178,                 1.5637,               0.002377,               0.002377,               0.002377
                     79,                 1.2465,                0.71578,                  1.492,                0.94563,                0.94079,                0.97171,                0.65273,                 1.2253,                0.55445,                 1.5632,               0.002278,               0.002278,               0.002278
                     80,                 1.2391,                0.69904,                  1.483,                0.94276,                0.94464,                0.97152,                0.65182,                 1.2274,                0.55461,                 1.5627,               0.002179,               0.002179,               0.002179
                     81,                 1.2443,                0.70746,                 1.4846,                0.94524,                0.94393,                0.97335,                0.65043,                 1.2294,                0.55174,                 1.5649,                0.00208,                0.00208,                0.00208
                     82,                  1.232,                0.69137,                 1.4737,                0.95204,                0.94458,                0.97358,                  0.651,                 1.2302,                 0.5512,                  1.563,               0.001981,               0.001981,               0.001981
                     83,                 1.2235,                0.69702,                 1.4785,                0.94744,                0.94407,                 0.9733,                 0.6519,                 1.2287,                0.55323,                 1.5624,               0.001882,               0.001882,               0.001882
                     84,                 1.2255,                0.69268,                 1.4724,                0.94514,                0.95015,                0.97394,                0.65156,                  1.229,                0.55304,                 1.5634,               0.001783,               0.001783,               0.001783
                     85,                 1.2186,                0.69223,                 1.4695,                0.95466,                0.94258,                0.97355,                0.65358,                 1.2274,                0.54851,                 1.5638,               0.001684,               0.001684,               0.001684
                     86,                 1.2095,                0.67775,                  1.463,                0.95379,                0.94014,                0.97275,                0.65383,                 1.2254,                0.54544,                 1.5635,               0.001585,               0.001585,               0.001585
                     87,                 1.2257,                0.69204,                 1.4738,                0.94895,                0.94163,                0.97218,                0.65346,                 1.2256,                0.54728,                 1.5649,               0.001486,               0.001486,               0.001486
                     88,                 1.2118,                0.67887,                 1.4675,                0.95427,                0.93986,                0.97272,                0.65361,                 1.2241,                0.54453,                 1.5615,               0.001387,               0.001387,               0.001387
                     89,                  1.216,                0.67999,                 1.4666,                0.95189,                0.94106,                 0.9732,                0.65418,                 1.2239,                0.54375,                 1.5602,               0.001288,               0.001288,               0.001288
                     90,                 1.2098,                0.67583,                  1.463,                0.95033,                0.94355,                0.97336,                0.65293,                  1.224,                0.54256,                 1.5592,               0.001189,               0.001189,               0.001189
                     91,                 1.1364,                0.52518,                 1.4418,                0.95257,                0.94408,                0.97359,                0.65592,                 1.2227,                 0.5345,                 1.5565,                0.00109,                0.00109,                0.00109
                     92,                 1.1298,                0.51135,                  1.437,                0.95172,                0.94413,                0.97497,                0.65816,                 1.2235,                0.52755,                 1.5574,               0.000991,               0.000991,               0.000991
                     93,                 1.1223,                0.50799,                 1.4309,                 0.9516,                0.94491,                0.97584,                0.66049,                  1.223,                0.52451,                 1.5573,               0.000892,               0.000892,               0.000892
                     94,                 1.1161,                 0.4995,                 1.4227,                0.96296,                  0.939,                0.97643,                0.66173,                 1.2205,                0.52161,                 1.5563,               0.000793,               0.000793,               0.000793
                     95,                 1.1125,                0.49969,                 1.4199,                0.96032,                0.94291,                0.97658,                0.66173,                 1.2197,                0.51941,                  1.555,               0.000694,               0.000694,               0.000694
                     96,                 1.1067,                0.49665,                 1.4185,                0.95847,                0.94517,                0.97609,                 0.6622,                 1.2179,                0.51883,                 1.5552,               0.000595,               0.000595,               0.000595
                     97,                 1.1077,                0.49391,                 1.4172,                0.95449,                  0.949,                 0.9764,                0.66242,                 1.2178,                0.51882,                 1.5559,               0.000496,               0.000496,               0.000496
                     98,                 1.0951,                0.48688,                 1.4056,                0.95443,                0.94928,                0.97674,                0.66299,                 1.2172,                0.51802,                 1.5567,               0.000397,               0.000397,               0.000397
                     99,                 1.0928,                0.48325,                 1.4103,                0.95676,                0.94708,                0.97662,                 0.6635,                  1.217,                0.51667,                 1.5569,               0.000298,               0.000298,               0.000298
                    100,                 1.0861,                0.48923,                 1.4052,                0.95778,                0.94662,                0.97703,                0.66425,                 1.2171,                0.51644,                 1.5581,               0.000199,               0.000199,               0.000199
